model_id,categoria,split,resolucion,nodos_por_nivel,n_nodos_totales,n_hojas_ocupadas,porcentaje_ocupacion_hoja,tiempo_construccion_ms,memoria_pico_construccion_bytes,memoria_estructura_python_bytes,carga_binaria_sin_comprimir_bytes,tamano_npz_bytes,densa_carga_sin_comprimir_bytes,densa_tamano_npz_comprimido_bytes,equivalencia
airplane_0627,airplane,test,32,1|8|20|43|112|491,675,491,1.4984130859375,52.160200000798795,960852,330320,12659,11474,524288,8852,True
airplane_0627,airplane,test,64,1|8|20|43|112|491|2073,2748,2073,0.7907867431640625,224.62369999993825,1722755,1335612,49973,35131,4194304,37648,True
airplane_0001,airplane,train,32,1|8|18|48|192|750,1017,750,2.288818359375,80.39209999969898,961876,495848,18819,14874,524288,11845,True
airplane_0001,airplane,train,64,1|8|18|48|192|750|2861,3878,2861,1.0913848876953125,281.49459999985993,2147254,1872568,70317,43391,4194304,46458,True
car_0198,car,test,32,1|8|16|94|470|2404,2993,2404,7.33642578125,211.9775999999547,1711630,1474592,54343,32827,524288,27167,True
car_0198,car,test,64,1|8|16|94|470|2404|8684,11677,8684,3.31268310546875,828.2467000008182,5871306,5634480,210655,75472,4194304,86851,True
car_0001,car,train,32,1|8|16|70|269|1205,1569,1205,3.6773681640625,107.83129999981611,1014603,767776,28715,20299,524288,15530,True
car_0001,car,train,64,1|8|16|70|269|1205|5462,7031,5462,2.083587646484375,490.52599999959057,3650312,3429676,127031,54937,4194304,58388,True
chair_0890,chair,test,32,1|8|32|73|231|786,1131,786,2.398681640625,94.39670000028855,960852,543668,20843,16335,524288,12635,True
chair_0890,chair,test,64,1|8|32|73|231|786|2874,4005,2874,1.096343994140625,293.8764999998966,2246746,1921820,72575,44813,4194304,46364,True
chair_0001,chair,train,32,1|8|31|80|237|757,1114,757,2.3101806640625,85.16640000016196,986052,532884,20541,12286,524288,9151,True
chair_0001,chair,train,64,1|8|31|80|237|757|2586,3700,2586,0.986480712890625,265.888900000391,2191782,1765568,67089,25973,4194304,30218,True
sofa_0681,sofa,test,32,1|8|54|168|738|2794,3763,2794,8.526611328125,285.92699999990145,2137643,1819172,68211,11002,524288,5544,True
sofa_0681,sofa,test,64,1|8|54|168|738|2794|9139,12902,9139,3.4862518310546875,911.110899999585,6488881,6157940,232713,21597,4194304,21908,True
sofa_0001,sofa,train,32,1|8|24|106|494|2147,2780,2147,6.5521240234375,190.21079999947688,1650204,1357376,50521,24417,524288,18497,True
sofa_0001,sofa,train,64,1|8|24|106|494|2147|7889,10669,7889,3.0094146728515625,801.0087000002386,5436007,5141900,192523,52643,4194304,59701,True
table_0393,table,test,32,1|8|24|88|321|1704,2146,1704,5.2001953125,163.18779999983235,1414791,1056440,39113,14330,524288,10307,True
table_0393,table,test,64,1|8|24|88|321|1704|6156,8302,6156,2.34832763671875,594.1114999995989,4376298,4005368,149921,26228,4194304,30495,True
table_0001,table,train,32,1|8|36|136|589|2193,2963,2193,6.6925048828125,206.06320000024425,1747582,1432092,53823,16427,524288,12577,True
table_0001,table,train,64,1|8|36|136|589|2193|8176,11139,8176,3.118896484375,811.8256999996447,5680553,5359048,200991,31079,4194304,36047,True
